y,Ux (sim),Ux (an),,,,
0.444,4.7402,62735.6742819416,,,,
0.445,4.7402,62763.8827685791,,,,
0.446,4.7402,62791.5829941962,,,,
0.447,4.7402,62818.7749587927,,,,
0.448,4.7402,62845.4586623688,,,,
0.449,4.7402,62871.6341049244,,,,
0.45,4.7402,62897.3012864595,,,,
0.451,4.7402,62922.4602069741,,,,
0.452,4.7402,62947.1108664681,,,,
0.453,4.7402,62971.2532649417,,,,
0.454,4.7402,62994.8874023948,,,,
0.455,4.7402,63018.0132788274,,,,
0.456,4.7402,63040.6308942395,,,,
0.457,4.7402,63062.7402486311,,,,
0.458,4.7402,63084.3413420022,,,,
0.459,4.7402,63105.4341743528,,,,
0.46,4.7402,63126.018745683,,,,
0.461,4.7402,63146.0950559926,,,,
0.462,4.7402,63165.6631052817,,,,
0.463,4.7402,63184.7228935503,,,,
0.464,4.7402,63203.2744207985,,,,
0.465,4.7402,63221.3176870261,,,,
0.466,4.7402,63238.8526922332,,,,
0.467,4.7402,63255.8794364199,,,,
0.468,4.7402,63272.397919586,,,,
0.469,4.7402,63288.4081417316,,,,
0.47,4.7402,63303.9101028568,,,,
0.471,4.7402,63318.9038029614,,,,
0.472,4.7402,63333.3892420456,,,,
0.473,4.7402,63347.3664201093,,,,
0.474,4.7402,63360.8353371524,,,,
0.475,4.7402,63373.7959931751,,,,
0.476,4.7402,63386.2483881772,,,,
0.477,4.7402,63398.1925221589,,,,
0.478,4.7402,63409.6283951201,,,,
0.479,4.7402,63420.5560070608,,,,
0.48,4.7402,63430.975357981,,,,
0.481,4.7402,63440.8864478806,,,,
0.482,4.7402,63450.2892767598,,,,
0.483,4.7402,63459.1838446185,,,,
0.484,4.7402,63467.5701514567,,,,
0.485,4.7402,63475.4481972744,,,,
0.486,4.7402,63482.8179820716,,,,
0.487,4.7402,63489.6795058483,,,,
0.488,4.7402,63496.0327686045,,,,
0.489,4.7402,63501.8777703402,,,,
0.49,4.7402,63507.2145110555,,,,
0.491,4.7402,63512.0429907502,,,,
0.492,4.7402,63516.3632094244,,,,
0.493,4.7402,63520.1751670781,,,,
0.494,4.7402,63523.4788637113,,,,
0.495,4.7402,63526.2742993241,,,,
0.496,4.7402,63528.5614739163,,,,
0.497,4.7402,63530.340387488,,,,
0.498,4.7402,63531.6110400393,,,,
0.499,4.7402,63532.37343157,,,,
0.5,4.7402,63532.6275620803,,,,
0.501,4.7402,63532.37343157,,,,
0.502,4.7402,63531.6110400393,,,,
0.503,4.7402,63530.340387488,,,,
0.504,4.7402,63528.5614739163,,,,
0.505,4.7402,63526.2742993241,,,,
0.506,4.7402,63523.4788637114,,,,
0.507,4.7402,63520.1751670781,,,,
0.508,4.7402,63516.3632094244,,,,
0.509,4.7402,63512.0429907502,,,,
0.51,4.7402,63507.2145110555,,,,
0.511,4.7402,63501.8777703402,,,,
0.512,4.7402,63496.0327686045,,,,
0.513,4.7402,63489.6795058483,,,,
0.514,4.7402,63482.8179820716,,,,
0.515,4.7402,63475.4481972744,,,,
0.516,4.7402,63467.5701514567,,,,
0.517,4.7402,63459.1838446185,,,,
0.518,4.7402,63450.2892767598,,,,
0.519,4.7402,63440.8864478806,,,,
0.52,4.7402,63430.975357981,,,,
0.521,4.7402,63420.5560070608,,,,
0.522,4.7402,63409.6283951201,,,,
0.523,4.7402,63398.1925221589,,,,
0.524,4.7402,63386.2483881772,,,,
0.525,4.7402,63373.7959931751,,,,
0.526,4.7402,63360.8353371524,,,,
0.527,4.7402,63347.3664201093,,,,
0.528,4.7402,63333.3892420456,,,,
0.529,4.7402,63318.9038029614,,,,
0.53,4.7402,63303.9101028568,,,,
0.531,4.7402,63288.4081417316,,,,
0.532,4.7402,63272.397919586,,,,
0.533,4.7402,63255.8794364199,,,,
0.534,4.7402,63238.8526922332,,,,
0.535,4.7402,63221.3176870261,,,,
0.536,4.7402,63203.2744207985,,,,
0.537,4.7402,63184.7228935503,,,,
0.538,4.7402,63165.6631052817,,,,
0.539,4.7402,63146.0950559926,,,,
0.54,4.7402,63126.018745683,,,,
0.541,4.7402,63105.4341743528,,,,
0.542,4.7402,63084.3413420022,,,,
0.543,4.7402,63062.7402486311,,,,
0.544,4.7402,63040.6308942395,,,,
0.545,4.7402,63018.0132788274,,,,
0.546,4.7402,62994.8874023948,,,,
0.547,4.7402,62971.2532649417,,,,
0.548,4.7402,62947.1108664681,,,,
0.549,4.7402,62922.4602069741,,,,
0.55,4.7402,62897.3012864595,,,,
0.551,4.7402,62871.6341049244,,,,
0.552,4.7402,62845.4586623688,,,,
0.553,4.7402,62818.7749587927,,,,
0.554,4.7402,62791.5829941962,,,,
0.555,4.7402,62763.8827685791,,,,
0.556,4.7402,62735.6742819415,,,,
0.557,4.7402,62706.9575342835,,,,
0.558,4.7402,62677.7325256049,,,,
0.559,4.7402,62647.9992559059,,,,
0.56,4.7402,62617.7577251863,,,,
0.561,4.7402,62587.0079334463,,,,
0.562,4.7402,62555.7498806857,,,,
0.563,4.7402,62523.9835669047,,,,
0.564,4.7402,62491.7089921032,,,,
0.565,4.7402,62458.9261562811,,,,
0.566,4.7402,62425.6350594386,,,,
0.567,4.7402,62391.8357015756,,,,
0.568,4.7402,62357.528082692,,,,
0.569,4.7402,62322.712202788,,,,
0.57,4.7402,62287.3880618635,,,,
0.571,4.7402,62251.5556599185,,,,
0.572,4.7402,62215.214996953,,,,
0.573,4.7402,62178.366072967,,,,
0.574,4.7402,62141.0088879605,,,,
0.575,4.7402,62103.1434419335,,,,
0.576,4.7402,62064.769734886,,,,
0.577,4.7402,62025.887766818,,,,
0.578,4.7402,61986.4975377295,,,,
0.579,4.7402,61946.5990476205,,,,
0.58,4.7402,61906.192296491,,,,
0.581,4.7402,61865.2772843411,,,,
0.582,4.7402,61823.8540111706,,,,
0.583,4.7402,61781.9224769796,,,,
0.584,4.7402,61739.4826817681,,,,
0.585,4.7402,61696.5346255362,,,,
0.586,4.7402,61653.0783082837,,,,
0.587,4.7402,61609.1137300107,,,,
0.588,4.7402,61564.6408907173,,,,
0.589,4.7402,61519.6597904033,,,,
0.59,4.7402,61474.1704290689,,,,
0.591,4.7402,61428.1728067139,,,,
0.592,4.7402,61381.6669233385,,,,
0.593,4.7402,61334.6527789425,,,,
0.594,4.7402,61287.1303735261,,,,
0.595,4.7402,61239.0997070892,,,,
0.596,4.7402,61190.5607796318,,,,
0.597,4.7402,61141.5135911538,,,,
0.598,4.7402,61091.9581416554,,,,
0.599,4.7402,61041.8944311365,,,,
0.6,4.7402,60991.3224595971,,,,
0.601,4.7402,60940.2422270371,,,,
